Field,Desc
pe_ttm_fs_mcw_q2v,PE_所有时间_加权法_20%分位点
pe_ttm_fs_mcw_q5v,PE_所有时间_加权法_50%分位点
pe_ttm_fs_mcw_q8v,PE_所有时间_加权法_80%分位点
pe_ttm_fs_median_avgv,PE_所有时间_中位数_平均值
pe_ttm_fs_median_cv,PE_所有时间_中位数_当前值
pe_ttm_fs_median_cvpos,PE_所有时间_中位数_当前分为点
pe_ttm_fs_median_maxpv,PE_所有时间_中位数_最大正值
pe_ttm_fs_median_maxv,PE_所有时间_中位数_最大值
pe_ttm_fs_median_minv,PE_所有时间_中位数_最小值
pe_ttm_fs_median_q2v,PE_所有时间_中位数_20%分位点
pe_ttm_fs_median_q5v,PE_所有时间_中位数_50%分位点
pe_ttm_fs_median_q8v,PE_所有时间_中位数_80%分位点
pe_ttm_mcw,PE_加权法
pe_ttm_median,PE_中位数
pe_ttm_y10_avg_avgv,PE_10年_平均值法_平均值
pe_ttm_y10_avg_cv,PE_10年_平均值法_当前值
pe_ttm_y10_avg_cvpos,PE_10年_平均值法_当前分为点
pe_ttm_y10_avg_maxpv,PE_10年_平均值法_最大正值
pe_ttm_y10_avg_maxv,PE_10年_平均值法_最大值
pe_ttm_y10_avg_minv,PE_10年_平均值法_最小值
pe_ttm_y10_avg_q2v,PE_10年_平均值法_20%分位点
pe_ttm_y10_avg_q5v,PE_10年_平均值法_50%分位点
pe_ttm_y10_avg_q8v,PE_10年_平均值法_80%分位点
pe_ttm_y10_ew_avgv,PE_10年_等权法_平均值
pe_ttm_y10_ew_cv,PE_10年_等权法_当前值
pe_ttm_y10_ew_cvpos,PE_10年_等权法_当前分为点
pe_ttm_y10_ew_maxpv,PE_10年_等权法_最大正值
pe_ttm_y10_ew_maxv,PE_10年_等权法_最大值
pe_ttm_y10_ew_minv,PE_10年_等权法_最小值
pe_ttm_y10_ew_q2v,PE_10年_等权法_20%分位点
pe_ttm_y10_ew_q5v,PE_10年_等权法_50%分位点
pe_ttm_y10_ew_q8v,PE_10年_等权法_80%分位点
pe_ttm_y10_ewpvo_avgv,PE_10年_正数等权法_平均值
pe_ttm_y10_ewpvo_cv,PE_10年_正数等权法_当前值
pe_ttm_y10_ewpvo_cvpos,PE_10年_正数等权法_当前分为点
pe_ttm_y10_ewpvo_maxpv,PE_10年_正数等权法_最大正值
pe_ttm_y10_ewpvo_maxv,PE_10年_正数等权法_最大值
pe_ttm_y10_ewpvo_minv,PE_10年_正数等权法_最小值
pe_ttm_y10_ewpvo_q2v,PE_10年_正数等权法_20%分位点
pe_ttm_y10_ewpvo_q5v,PE_10年_正数等权法_50%分位点
pe_ttm_y10_ewpvo_q8v,PE_10年_正数等权法_80%分位点
pe_ttm_y10_mcw_avgv,PE_10年_加权法_平均值
pe_ttm_y10_mcw_cv,PE_10年_加权法_当前值
pe_ttm_y10_mcw_cvpos,PE_10年_加权法_当前分为点
pe_ttm_y10_mcw_maxpv,PE_10年_加权法_最大正值
pe_ttm_y10_mcw_maxv,PE_10年_加权法_最大值
pe_ttm_y10_mcw_minv,PE_10年_加权法_最小值
pe_ttm_y10_mcw_q2v,PE_10年_加权法_20%分位点
pe_ttm_y10_mcw_q5v,PE_10年_加权法_50%分位点
pe_ttm_y10_mcw_q8v,PE_10年_加权法_80%分位点
pe_ttm_y10_median_avgv,PE_10年_中位数_平均值
pe_ttm_y10_median_cv,PE_10年_中位数_当前值
pe_ttm_y10_median_cvpos,PE_10年_中位数_当前分为点
pe_ttm_y10_median_maxpv,PE_10年_中位数_最大正值
pe_ttm_y10_median_maxv,PE_10年_中位数_最大值
pe_ttm_y10_median_minv,PE_10年_中位数_最小值
pe_ttm_y10_median_q2v,PE_10年_中位数_20%分位点
pe_ttm_y10_median_q5v,PE_10年_中位数_50%分位点
pe_ttm_y10_median_q8v,PE_10年_中位数_80%分位点
pe_ttm_y5_avg_avgv,PE_5年_平均值法_平均值
pe_ttm_y5_avg_cv,PE_5年_平均值法_当前值
pe_ttm_y5_avg_cvpos,PE_5年_平均值法_当前分为点
pe_ttm_y5_avg_maxpv,PE_5年_平均值法_最大正值
pe_ttm_y5_avg_maxv,PE_5年_平均值法_最大值
pe_ttm_y5_avg_minv,PE_5年_平均值法_最小值
pe_ttm_y5_avg_q2v,PE_5年_平均值法_20%分位点
pe_ttm_y5_avg_q5v,PE_5年_平均值法_50%分位点
pe_ttm_y5_avg_q8v,PE_5年_平均值法_80%分位点
pe_ttm_y5_ew_avgv,PE_5年_等权法_平均值
pe_ttm_y5_ew_cv,PE_5年_等权法_当前值
pe_ttm_y5_ew_cvpos,PE_5年_等权法_当前分为点
pe_ttm_y5_ew_maxpv,PE_5年_等权法_最大正值
pe_ttm_y5_ew_maxv,PE_5年_等权法_最大值
pe_ttm_y5_ew_minv,PE_5年_等权法_最小值
pe_ttm_y5_ew_q2v,PE_5年_等权法_20%分位点
pe_ttm_y5_ew_q5v,PE_5年_等权法_50%分位点
pe_ttm_y5_ew_q8v,PE_5年_等权法_80%分位点
pe_ttm_y5_ewpvo_avgv,PE_5年_正数等权法_平均值
pe_ttm_y5_ewpvo_cv,PE_5年_正数等权法_当前值
pe_ttm_y5_ewpvo_cvpos,PE_5年_正数等权法_当前分为点
pe_ttm_y5_ewpvo_maxpv,PE_5年_正数等权法_最大正值
pe_ttm_y5_ewpvo_maxv,PE_5年_正数等权法_最大值
pe_ttm_y5_ewpvo_minv,PE_5年_正数等权法_最小值
pe_ttm_y5_ewpvo_q2v,PE_5年_正数等权法_20%分位点
pe_ttm_y5_ewpvo_q5v,PE_5年_正数等权法_50%分位点
pe_ttm_y5_ewpvo_q8v,PE_5年_正数等权法_80%分位点
pe_ttm_y5_mcw_avgv,PE_5年_加权法_平均值
pe_ttm_y5_mcw_cv,PE_5年_加权法_当前值
pe_ttm_y5_mcw_cvpos,PE_5年_加权法_当前分为点
pe_ttm_y5_mcw_maxpv,PE_5年_加权法_最大正值
pe_ttm_y5_mcw_maxv,PE_5年_加权法_最大值
pe_ttm_y5_mcw_minv,PE_5年_加权法_最小值
pe_ttm_y5_mcw_q2v,PE_5年_加权法_20%分位点
pe_ttm_y5_mcw_q5v,PE_5年_加权法_50%分位点
pe_ttm_y5_mcw_q8v,PE_5年_加权法_80%分位点
pe_ttm_y5_median_avgv,PE_5年_中位数_平均值
pe_ttm_y5_median_cv,PE_5年_中位数_当前值
pe_ttm_y5_median_cvpos,PE_5年_中位数_当前分为点
pe_ttm_y5_median_maxpv,PE_5年_中位数_最大正值
pe_ttm_y5_median_maxv,PE_5年_中位数_最大值
pe_ttm_y5_median_minv,PE_5年_中位数_最小值
pe_ttm_y5_median_q2v,PE_5年_中位数_20%分位点
pe_ttm_y5_median_q5v,PE_5年_中位数_50%分位点
pe_ttm_y5_median_q8v,PE_5年_中位数_80%分位点
stockCode,指数代码
